	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7
cg05336395	chr13	53421538	53421839	0.011027705052409	0.000341770840472865	0.00120763957387446	1.79627473378475	PCDH8	chr13	53421688	53421689	cg05336395	PCDH8	Island	I
cg23994043	chr2	200326575	200326876	0.00794751758291859	0.000285902754881187	0.000907680247042781	1.63208808558198	SATB2	chr2	200326725	200326726	cg23994043	SATB2	Island	I
cg19730691	chr1	119526287	119526588	0.0042979374472998	0.00037267707108727	0.000678716821603748	1.3253241421626	TBX15	chr1	119526437	119526438	cg19730691	TBX15	N_Shore	I
cg14410016	chr2	176986509	176986810	0.00880038786738828	0.00018254905220734	0.000876053351780747	1.31942659546775	HOXD9	chr2	176986659	176986660	cg14410016	HOXD9	Island	I
cg02694427	chr2	176964362	176964663	0.00842279210277837	0.000386217160504846	0.00103521638536067	1.28610080722441	HOXD12	chr2	176964512	176964513	cg02694427	HOXD12	Island	I
cg20785796	chr2	200326571	200326872	0.00398493866297735	0.000333191381139527	0.000621891961201894	1.23048463225908	SATB2	chr2	200326721	200326722	cg20785796	SATB2	Island	I
cg03255182	chr12	54423416	54423717	0.00706401733725907	6.91986619385663e-05	0.000632500880483105	1.21023709180932	HOXC4	chr12	54423566	54423567	cg03255182	HOXC4	Island	I
cg16919569	chr4	174452685	174452986	0.00599204849727325	0.000216308900360662	0.000687218167964842	1.13413496169045	NBLA00301	chr4	174452835	174452836	cg16919569	NBLA00301	Island	I
cg08202494	chr8	99961395	99961696	0.00672418450627008	0.000195330326672715	0.000736264789035459	1.10332184047931	OSR2	chr8	99961545	99961546	cg08202494	OSR2	S_Shore	I
cg08979319	chr6	100895905	100896206	0.00378368484804607	0.000579712327129147	0.000837263274776963	1.09069881211832	SIM1	chr6	100896055	100896056	cg08979319	SIM1	Island	I
cg06966811	chr14	57276639	57276940	0.00445101281923651	9.75548504205641e-05	0.000447851341096916	0.964667941581176	OTX2	chr14	57276789	57276790	cg06966811	OTX2	Island	I
cg07973435	chr6	100905308	100905609	0.00221060074366588	0.000129406672443332	0.000285545846854839	0.935543391524897	SIM1	chr6	100905458	100905459	cg07973435	SIM1	Island	I
cg12595013	chr3	147127973	147128274	0.00472976423913672	5.89357082036894e-05	0.000431062582603898	0.865387009689254	ZIC1	chr3	147128123	147128124	cg12595013	ZIC1	Island	I
cg03874199	chr2	176964306	176964607	0.00283421112188947	0.000153015997819269	0.0003651723045804	0.797000119990677	HOXD12	chr2	176964456	176964457	cg03874199	HOXD12	Island	II
