	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7
cg12111714	chr13	26043322	26043623	0.000208504462988334	1.99551300005255e-06	1.88995885658433e-05	0.0352883951107079	ATP8A2	chr13	26043472	26043473	cg12111714	ATP8A2	Island	II
cg01071966	chr5	76248773	76249074	0.00139390719411902	1.2857471470001e-06	0.00011263300669249	0.0258196538894991	CRHBP	chr5	76248923	76248924	cg01071966	CRHBP	N_Shore	II
cg04875128	chr15	31775745	31776046	0.000251495297805643	-6.25855059281319e-06	1.49029382113785e-05	0.0164865877781708	OTUD7A	chr15	31775895	31775896	cg04875128	OTUD7A	Island	I
cg05749969	chr1	38412561	38412862	0.000503409090909091	-5.83269524704166e-06	3.45253388814272e-05	0.0130152464299314	INPP5B	chr1	38412711	38412712	cg05749969	INPP5B	CpG_Ocean	II
cg14711690	chr1	226924932	226925233	0.000250287356321839	6.58378011085164e-06	2.59978950394721e-05	0.0080439912019696	ITPKB	chr1	226925082	226925083	cg14711690	ITPKB	Island	I
cg03312958	chr5	2749152	2749453	0.00025732011413648	-2.01343468789733e-06	1.97176701838563e-05	0.0069841043958691	IRX2	chr5	2749302	2749303	cg03312958	IRX2	Island	I
cg17001566	chr1	2990340	2990641	0.000227777777777778	6.23052959501558e-07	2.11954022988506e-05	0.0069566933066933	PRDM16	chr1	2990490	2990491	cg17001566	PRDM16	Island	I
cg05903330	chr22	39541986	39542287	2.79504536857478e-06	-1.32890365448505e-06	-1.80075537808534e-06	0.00654863223093178	CBX7	chr22	39542136	39542137	cg05903330	CBX7	Island	II
cg05262829	chr1	226921426	226921727	1e-04	-1.88682988770287e-06	5.32445643013652e-06	0.00543521288837745	ITPKB	chr1	226921576	226921577	cg05262829	ITPKB	N_Shelf	II
cg16265906	chr5	115152176	115152477	0.000115954522738631	1.86446006908329e-06	9.79948918237703e-06	0.00538523960367954	CDO1	chr5	115152326	115152327	cg16265906	CDO1	Island	II
cg07877559	chr5	11903149	11903450	0.000115884518058431	6.09756097560976e-07	8.68002296103212e-06	0.00516053611317945	CTNND2	chr5	11903299	11903300	cg07877559	CTNND2	N_Shore	II
cg21245652	chr2	95690901	95691202	0.000153846153846154	-6.26959247648903e-07	1.10144927536232e-05	0.00509040689040689	MAL	chr2	95691051	95691052	cg21245652	MAL	Island	II
cg11173941	chr5	2750053	2750354	0.000225729442970822	-1.98019801980198e-06	1.69388801406233e-05	0.00507114190555463	IRX2	chr5	2750203	2750204	cg11173941	IRX2	Island	II
cg15833843	chr17	53341093	53341394	0.000136363636363636	-1.94078534925804e-06	7.09825291765091e-06	0.00468002164502164	HLF	chr17	53341243	53341244	cg15833843	HLF	N_Shore	I
cg26578682	chr5	2750013	2750314	0.000179286926994907	-1.3223176622298e-06	1.32151546747965e-05	0.00453254937434042	IRX2	chr5	2750163	2750164	cg26578682	IRX2	Island	II
cg18499443	chr10	100993403	100993704	0.000133549783549784	-1.31885437063467e-06	9.9565940795007e-06	0.00420468235513998	HPSE2	chr10	100993553	100993554	cg18499443	HPSE2	N_Shore	II
cg25437411	chr10	100996197	100996498	0.000118181818181818	-9.6893591457861e-08	7.7638441155125e-06	0.00384432234432234	HPSE2	chr10	100996347	100996348	cg25437411	HPSE2	S_Shelf	II
cg07405021	chr5	115151869	115152170	-2.29885057471264e-07	6.42634606557217e-07	5.88355309575076e-07	0.00339871228103823	CDO1	chr5	115152019	115152020	cg07405021	CDO1	Island	II
cg02792792	chr5	115152270	115152571	0.000114251207729469	6.64451827242525e-07	1.26779780637381e-05	0.00318363636363636	CDO1	chr5	115152420	115152421	cg02792792	CDO1	Island	II
cg14410476	chr2	95692873	95693174	8.85483870967742e-05	-3.88442514933648e-06	4.16036289292103e-06	0.00288723282052545	MAL	chr2	95693023	95693024	cg14410476	MAL	S_Shore	II
cg02309273	chr1	38412594	38412895	0.00012	-1.26984126984127e-06	7.64705882352941e-06	0.00272222222222222	INPP5B	chr1	38412744	38412745	cg02309273	INPP5B	CpG_Ocean	II
cg03559682	chr11	6439714	6440015	-1.54761904761905e-05	-6.43086816720257e-07	-1.76664556832799e-06	0.00268792742407231	APBB1	chr11	6439864	6439865	cg03559682	APBB1	Island	II
cg07511080	chr5	2749565	2749866	-5.88235294117647e-06	0	-5.91715976331361e-07	0.00240025586353944	IRX2	chr5	2749715	2749716	cg07511080	IRX2	Island	II
cg02800607	chr10	100991809	100992110	6.66666666666667e-06	1.25e-06	1.78041795404741e-06	0.00216285441285441	HPSE2	chr10	100991959	100991960	cg02800607	HPSE2	N_Shore	I
cg07773116	chr10	48438350	48438651	-6.66666666666667e-06	3.93594836146971e-06	3.01075268817204e-06	0.00212388888888889	GDF10	chr10	48438500	48438501	cg07773116	GDF10	Island	II
cg08927006	chr10	100993406	100993707	-2.39285714285714e-05	1.32462738774126e-06	-1.12874042072688e-06	0.00210038933812519	HPSE2	chr10	100993556	100993557	cg08927006	HPSE2	N_Shore	I
cg13919285	chr20	57875975	57876276	-1.66666666666667e-05	3.38518293864719e-06	1.88791825678823e-06	0.00196333333333333	EDN3	chr20	57876125	57876126	cg13919285	EDN3	Island	II
cg17863743	chr10	100993437	100993738	-1.53846153846154e-05	0	-1.22699386503067e-06	0.00167466666666667	HPSE2	chr10	100993587	100993588	cg17863743	HPSE2	N_Shore	I
cg03129884	chr2	95692577	95692878	-3.63636363636364e-05	0	-2.46913580246914e-06	0.00162508482508483	MAL	chr2	95692727	95692728	cg03129884	MAL	S_Shore	I
cg12880658	chr5	115152236	115152537	-2.08002645502645e-05	0	-1.78787085307117e-06	0.00155544085625185	CDO1	chr5	115152386	115152387	cg12880658	CDO1	Island	II
cg24926711	chr10	100993512	100993813	0	1.25786163522013e-06	1.15273775216138e-06	0.00106666666666667	HPSE2	chr10	100993662	100993663	cg24926711	HPSE2	N_Shore	II
cg13737332	chr10	100993433	100993734	-8.33333333333333e-06	-6.32911392405063e-07	-1.1853126591392e-06	0.000981111111111113	HPSE2	chr10	100993583	100993584	cg13737332	HPSE2	N_Shore	II
cg14550611	chr19	41354532	41354833	0	1.2987012987013e-06	1.18343195266272e-06	0.000966666666666667	CYP2A6	chr19	41354682	41354683	cg14550611	CYP2A6	Island	I
cg09511126	chr10	100993447	100993748	-6.45161290322581e-06	6.62251655629139e-07	0	0.000927536231884058	HPSE2	chr10	100993597	100993598	cg09511126	HPSE2	N_Shore	II
cg21174746	chr5	11903146	11903447	0	-6.5359477124183e-07	-6.06060606060606e-07	0.00092	CTNND2	chr5	11903296	11903297	cg21174746	CTNND2	N_Shore	I
cg13964105	chr3	26663735	26664036	-2.38095238095238e-05	0	-1.75980562304755e-06	0.000789222423146475	LRRC3B	chr3	26663885	26663886	cg13964105	LRRC3B	N_Shore	II
cg10768206	chr3	26663476	26663777	0.000133333333333333	1.88178780284043e-06	1.14719228587635e-05	0.000744444444444446	LRRC3B	chr3	26663626	26663627	cg10768206	LRRC3B	N_Shore	II
cg11945824	chr6	32116813	32117114	0	-1.31147540983607e-06	-1.17994100294985e-06	0.00069936507936508	PRRT1	chr6	32116963	32116964	cg11945824	PRRT1	Island	I
cg03388193	chr10	100995920	100996221	-6.66666666666667e-06	0	-5.84795321637427e-07	0.00063030303030303	HPSE2	chr10	100996070	100996071	cg03388193	HPSE2	S_Shore	II
cg01251150	chr5	67535403	67535704	0	6.2111801242236e-07	5.76368876080692e-07	0.00062	PIK3R1	chr5	67535553	67535554	cg01251150	PIK3R1	CpG_Ocean	II
cg16401360	chr10	100993439	100993740	0	6.47249190938511e-07	6.06060606060606e-07	0.0003995145631068	HPSE2	chr10	100993589	100993590	cg16401360	HPSE2	N_Shore	II
cg03236397	chr10	100992279	100992580	0.000121739130434783	-1.32450331125828e-06	7.38461538461538e-06	0.000394594594594594	HPSE2	chr10	100992429	100992430	cg03236397	HPSE2	Island	I
cg11229543	chr1	2984295	2984596	0	0	0	0.000376470588235294	PRDM16	chr1	2984445	2984446	cg11229543	PRDM16	Island	I
cg06535308	chr11	17497543	17497844	0	-1.34228187919463e-06	-1.22699386503067e-06	2e-04	ABCC8	chr11	17497693	17497694	cg06535308	ABCC8	Island	II
cg25034395	chr10	100996873	100997174	0	0	0	2e-04	HPSE2	chr10	100997023	100997024	cg25034395	HPSE2	S_Shelf	II
cg16179952	chr2	946967	947268	-8.69565217391304e-06	3.06748466257669e-06	2.29226361031519e-06	0.000186666666666667	SNTG2	chr2	947117	947118	cg16179952	SNTG2	Island	II
